occupation,category,code,soccupation
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building and Grounds Cleaning and Maintenance Occupations,4210,Landscaping and Groundskeeping Supervisors
Janitors and Building Cleaners,Building and Grounds Cleaning and Maintenance Occupations,4220,Janitors and Building Cleaners
Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance Occupations,4230,Maids and Housekeeping Cleaners
Pest Control Workers,Building and Grounds Cleaning and Maintenance Occupations,4240,Pest Control Workers
Grounds Maintenance Workers,Building and Grounds Cleaning and Maintenance Occupations,4250,Grounds Maintenance Workers
First-Line Supervisors of Gaming Workers,Personal Care and Service Occupations,4300,Gaming Worker Supervisors
First-Line Supervisors of Personal Service Workers,Personal Care and Service Occupations,4320,Personal Service Supervisors
Animal Trainers,Personal Care and Service Occupations,4340,Animal Trainers
Nonfarm Animal Caretakers,Personal Care and Service Occupations,4350,Nonfarm Animal Caretakers
Gaming Services Workers,Personal Care and Service Occupations,4400,Gaming Services Workers
Motion Picture Projectionists,Personal Care and Service Occupations,4410,Motion Picture Projectionists
"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service Occupations,4420,Ushers and Ticket Takers
Miscellaneous Entertainment Attendants and Related Workers,Personal Care and Service Occupations,4430,Miscellaneous Entertainment Attendants
Embalmers and Funeral Attendants,Personal Care and Service Occupations,4460,Embalmers and Funeral Attendants
Barbers,Personal Care and Service Occupations,4500,Barbers
"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service Occupations,4510,"Hairdressers, Hairstylists, and Cosmetologists"
Miscellaneous Personal Appearance Workers,Personal Care and Service Occupations,4520,Miscellaneous Personal Appearance Workers
"Baggage Porters, Bellhops, and Concierges",Personal Care and Service Occupations,4530,"Baggage Porters, Bellhops, and Concierges"
Tour and Travel Guides,Personal Care and Service Occupations,4540,Tour and Travel Guides
Transportation Attendants,Personal Care and Service Occupations,4550,Transportation Attendants
Childcare Workers,Personal Care and Service Occupations,4600,Childcare Workers
Personal Care Aides,Personal Care and Service Occupations,4610,Personal Care Aides
Recreation and Fitness Workers,Personal Care and Service Occupations,4620,Recreation and Fitness Workers
Residential Advisors,Personal Care and Service Occupations,4640,Residential Advisors
"Personal Care and Service Workers, All Other",Personal Care and Service Occupations,4650,Other Personal Care and Service Workers
First-Line Supervisors of Retail Sales Workers,Sales and Related Occupations,4700,Retail Supervisors
First-Line Supervisors of Non-Retail Sales,Sales and Related Occupations,4710,Nonretail Sales Supervisors
Cashiers,Sales and Related Occupations,4720,Cashiers
Counter and Rental Clerks,Sales and Related Occupations,4740,Counter and Rental Clerks
Parts Salespersons,Sales and Related Occupations,4750,Parts Salespersons
Retail Salespersons,Sales and Related Occupations,4760,Retail Salespersons
Advertising Sales Agents,Sales and Related Occupations,4800,Advertising Sales Agents
Insurance Sales Agents,Sales and Related Occupations,4810,Insurance Sales Agents
"Securities, Commodities, and Financial Services Sales Agents",Sales and Related Occupations,4820,Financial Sales Agents
Travel Agents,Sales and Related Occupations,4830,Travel Agents
"Sales Representatives, Services, All Other",Sales and Related Occupations,4840,Service Sales Representatives
"Sales Representatives, Wholesale and Manufacturing",Sales and Related Occupations,4850,Wholesale and Manufacturing Sales Representatives
"Models, Demonstrators, and Product Promoters",Sales and Related Occupations,4900,"Models, Demonstrators, and Product Promoters"
Real Estate Brokers and Sales Agents,Sales and Related Occupations,4920,Real Estate Brokers
Sales Engineers,Sales and Related Occupations,4930,Sales Engineers
Telemarketers,Sales and Related Occupations,4940,Telemarketers
